2026-04-08 10:59:33 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 10:59:42 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 10:59:55 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:00:04 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:00:35 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:35:44 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:35:44 | INFO     | app.analyzer | AI extracted 44 drawing index entries
2026-04-08 11:35:44 | INFO     | app.analyzer | AI drawing index (44 sheets) replacing regex result (2 sheets)
2026-04-08 11:36:09 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:36:09 | INFO     | app.analyzer | AI extracted 18 spec fields from 4 pages: ['module_stc_watts', 'string_size', 'string_quantity', 'total_dc_kw', 'inverter_make', 'inverter_model', 'inverter_kva', 'inverter_kw', 'inverter_max_vdc', 'inverter_quantity', 'total_ac_kva', 'dc_ac_ratio', 'transformer_kva', 'transformer_primary_voltage', 'transformer_secondary_voltage', 'transformer_impedance', 'transformer_bil', 'poi_voltage']
2026-04-08 11:36:34 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:36:51 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:36:58 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:06 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:13 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:22 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:33 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:41 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:37:56 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:38:05 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:38:14 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:38:24 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 11:39:32 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:48:51 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:48:51 | INFO     | app.analyzer | AI extracted 44 drawing index entries
2026-04-08 15:48:51 | INFO     | app.analyzer | AI drawing index (44 sheets) replacing regex result (2 sheets)
2026-04-08 15:49:16 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:49:16 | INFO     | app.analyzer | AI extracted 15 spec fields from 4 pages: ['module_stc_watts', 'string_size', 'string_quantity', 'total_dc_kw', 'inverter_make', 'inverter_model', 'inverter_kw', 'inverter_quantity', 'total_ac_kva', 'dc_ac_ratio', 'transformer_kva', 'transformer_primary_voltage', 'transformer_secondary_voltage', 'transformer_impedance', 'transformer_bil']
2026-04-08 15:49:37 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:50:14 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:51:18 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:51:26 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:51:36 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:51:51 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:51:51 | WARNING  | app.gemini_analyzer | Could not parse JSON from Gemini response:
[
  {
    "check": "Scale and North Arrow",
    "found": true,
    "evidence": "North arrow is shown near the upper-right area, and a graphic scale bar with 'SCALE: 1\" = 60\'' appears at the bottom center.",
    "severity": "low"
  },
  {
    "check": "Legend",
    "found": true,
    "evidence": "Legend is present on the right side and includes the cable types and symbols used on the plan, including fence line, underground MV cable, AC/DC lines, and harness outputs.",
    "severity": "low"
  },
2026-04-08 15:51:57 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:52:05 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:52:22 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:52:32 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:52:38 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:52:46 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 15:53:29 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:09:30 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:09:30 | INFO     | app.analyzer | AI extracted 17 spec fields from 4 pages: ['module_stc_watts', 'string_size', 'string_quantity', 'total_dc_kw', 'inverter_make', 'inverter_model', 'inverter_kva', 'inverter_kw', 'inverter_quantity', 'total_ac_kva', 'dc_ac_ratio', 'transformer_kva', 'transformer_primary_voltage', 'transformer_secondary_voltage', 'transformer_impedance', 'transformer_bil', 'poi_voltage']
2026-04-08 16:09:57 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:10:15 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:10:24 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:10:32 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:10:40 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:10:48 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:02 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:15 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:23 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:35 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:42 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:11:49 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:12:00 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:12:17 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:12:31 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:12:50 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-04-08 16:25:47 | INFO     | access | 127.0.0.1 GET /api/health → 200
2026-04-08 16:26:14 | INFO     | access | 192.168.1.150 GET /api/runs → 200
2026-04-08 16:26:14 | INFO     | access | 192.168.1.150 GET /api/runs → 200
2026-04-08 16:26:18 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-08 16:27:24 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-08 16:28:42 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-08 16:28:42 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-08 16:29:04 | INFO     | access | 127.0.0.1 OPTIONS /api/issues/b137476c-97e6-4ed1-add1-4750009db77d → 200
2026-04-08 16:29:04 | INFO     | access | 127.0.0.1 PATCH /api/issues/b137476c-97e6-4ed1-add1-4750009db77d → 200
2026-04-08 16:29:04 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-08 16:29:22 | INFO     | access | 127.0.0.1 OPTIONS /api/issues/7b9a45fe-e10a-4547-8c80-e5207ae39ad4 → 200
2026-04-08 16:29:23 | INFO     | access | 127.0.0.1 PATCH /api/issues/7b9a45fe-e10a-4547-8c80-e5207ae39ad4 → 200
2026-04-08 16:29:23 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-08 16:29:39 | INFO     | access | 127.0.0.1 GET /favicon.ico → 404
2026-04-13 16:31:07 | INFO     | access | 127.0.0.1 GET /api/health → 200
2026-04-13 16:31:45 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:31:45 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:32:28 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:33:42 | INFO     | access | 127.0.0.1 GET /api/export/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:34:29 | INFO     | access | 127.0.0.1 GET /favicon.ico → 404
2026-04-13 16:47:20 | INFO     | access | 127.0.0.1 OPTIONS /api/issues/fcda0308-5f25-4891-b6f4-5a6e04d60b50 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 PATCH /api/issues/fcda0308-5f25-4891-b6f4-5a6e04d60b50 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 PATCH /api/issues/fcda0308-5f25-4891-b6f4-5a6e04d60b50 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 PATCH /api/issues/fcda0308-5f25-4891-b6f4-5a6e04d60b50 → 200
2026-04-13 16:47:21 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:47:24 | INFO     | access | 127.0.0.1 PATCH /api/issues/fcda0308-5f25-4891-b6f4-5a6e04d60b50 → 200
2026-04-13 16:47:24 | INFO     | access | 127.0.0.1 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:49:20 | INFO     | access | 127.0.0.1 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:50:56 | INFO     | access | 127.0.0.1 OPTIONS /api/issues/44d4bb82-3372-4fc3-acb0-229f76580edd → 200
2026-04-13 16:50:56 | INFO     | access | 127.0.0.1 PATCH /api/issues/44d4bb82-3372-4fc3-acb0-229f76580edd → 200
2026-04-13 16:50:56 | INFO     | access | 127.0.0.1 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:51:00 | INFO     | access | 127.0.0.1 PATCH /api/issues/44d4bb82-3372-4fc3-acb0-229f76580edd → 200
2026-04-13 16:51:00 | INFO     | access | 127.0.0.1 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:54:06 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:54:06 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:54:16 | INFO     | access | 127.0.0.1 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:54:40 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:54:40 | INFO     | access | 127.0.0.1 GET /api/runs → 200
2026-04-13 16:56:03 | INFO     | access | 192.168.1.150 GET /api/runs → 200
2026-04-13 16:56:03 | INFO     | access | 192.168.1.150 GET /api/runs → 200
2026-04-13 16:57:01 | INFO     | access | 192.168.1.146 GET /api/runs → 200
2026-04-13 16:57:01 | INFO     | access | 192.168.1.146 GET /api/runs → 200
2026-04-13 16:57:06 | INFO     | access | 192.168.1.146 GET /api/runs/3919ad6a-9faf-4126-8afa-c29c74a81856 → 200
2026-04-13 16:57:07 | INFO     | access | 192.168.1.146 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:57:09 | INFO     | access | 192.168.1.146 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
2026-04-13 16:57:10 | INFO     | access | 192.168.1.146 GET /api/runs/5fdfb013-f51e-474c-9f9f-72a1ef7ce6b5 → 200
